Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake,CountryLong,CountryShort,CityLong,CityShort
-30.1409999999999,-177.687999999999,6.0,1990,1,18,12,45,1,42X4V856+JR,42X4V856+JR,42X4V856+JR,42X4V856+JR
3.885,96.09999999999992,6.0,1990,1,22,17,26,1,Indonesia,ID,6MMRV4P2+22,6MMRV4P2+22
37.04699999999991,71.25,6.1,1990,2,5,5,16,1,Afghanistan,AF,Badakhshan,Badakhshan
9.755,124.694,6.2,1990,2,8,7,15,1,Philippines,PH,QM3V+XH,QM3V+XH
9.725,124.625,6.0,1990,2,8,7,46,1,Philippines,PH,PJFF+XX,PJFF+XX
-42.343,172.798,6.0,1990,2,10,3,27,1,New Zealand,NZ,Canterbury,Canterbury
-15.465,166.384999999999,6.7,1990,2,19,6,48,1,5VP8G9MM+XX,5VP8G9MM+XX,5VP8G9MM+XX,5VP8G9MM+XX
34.706,139.252,6.1,1990,2,20,6,53,1,Japan,JP,P742+9Q,P742+9Q
-15.523,-175.235999999999,6.0,1990,2,24,19,13,1,Tonga,TO,52P6FQG7+RJ,52P6FQG7+RJ
-26.651,-114.726,6.1,1990,2,26,19,6,1,555787XF+JJ,555787XF+JJ,555787XF+JJ,555787XF+JJ
-22.122,175.163,7.4,1990,3,3,12,16,1,5V9QV5H7+66,5V9QV5H7+66,5V9QV5H7+66,5V9QV5H7+66
-22.405,174.163999999999,6.1,1990,3,3,12,44,1,5V9PH5V7+XH,5V9PH5V7+XH,5V9PH5V7+XH,5V9PH5V7+XH
-18.318,168.062999999999,7.0,1990,3,5,16,38,1,5VHCM3J7+R5,5VHCM3J7+R5,5VHCM3J7+R5,5VHCM3J7+R5
51.484,-175.032,6.2,1990,3,12,14,41,1,United States,US,9236FXM9+H5,9236FXM9+H5
-31.0919999999999,-179.092999999999,6.2,1990,3,21,16,46,1,42W2WW54+6R,42W2WW54+6R,42W2WW54+6R,42W2WW54+6R
9.919,-84.808,6.2,1990,3,25,13,22,1,Costa Rica,CR,W59R+HR,W59R+HR
37.03399999999991,72.94199999999991,6.0,1990,3,25,14,17,1,Afghanistan,AF,Badakhshan,Badakhshan
15.125,147.596,7.5,1990,4,5,21,12,1,7R794HFW+XC,7R794HFW+XC,7R794HFW+XC,7R794HFW+XC
39.436,74.9,6.2,1990,4,17,1,59,1,China,CN,Xinjiang,Xinjiang
1.186,122.857,6.2,1990,4,18,13,39,1,Indonesia,ID,6QH45VP4+CR,6QH45VP4+CR
1.108,123.429,6.2,1990,4,19,12,40,1,Indonesia,ID,6QH54C5H+6H,6QH54C5H+6H
-36.98499999999991,-73.3029999999999,6.0,1990,4,21,18,54,1,Chile,CL,2M8W+2R,2M8W+2R
35.9859999999999,100.245,6.9,1990,4,26,9,37,1,China,CN,Qinghai,Qinghai
36.23899999999991,100.254,6.3,1990,4,26,9,37,1,China,CN,Qinghai,Qinghai
58.84,-156.858,6.3,1990,5,1,16,12,1,United States,US,Alaska,AK
61.85629999999991,-158.3372,6.1,1990,5,1,16,13,1,United States,US,Alaska,AK
-5.604,150.163999999999,6.2,1990,5,2,22,50,1,Papua New Guinea,PG,West New Britain Province,West New Britain Province
6.905,-82.622,6.3,1990,5,8,0,1,1,66RVW94H+26,66RVW94H+26,66RVW94H+26,66RVW94H+26
-56.381,-27.058,6.0,1990,5,9,4,21,1,South Georgia and the South Sandwich Islands,GS,39MJJW9R+HR,39MJJW9R+HR
41.82,130.858,6.3,1990,5,11,13,10,1,8QHGRV95+X6,8QHGRV95+X6,8QHGRV95+X6,8QHGRV95+X6
49.03699999999991,141.847,6.8,1990,5,12,4,50,1,Russia,RU,8RX32RPW+RQ,8RX32RPW+RQ
-40.29599999999991,176.063999999999,6.3,1990,5,13,4,23,1,New Zealand,NZ,Manawatu-Wanganui,Manawatu-Wanganui
26.619,127.846,6.0,1990,5,17,23,28,1,Japan,JP,Unnamed Road,Unnamed Road
5.121,32.145,7.1,1990,5,20,2,22,1,South Sudan,SS,Eastern Equatoria,Eastern Equatoria
-18.102,-175.13,6.2,1990,5,20,7,32,1,52H6VVXC+52,52H6VVXC+52,52H6VVXC+52,52H6VVXC+52
-32.5,179.624,6.4,1990,5,20,9,53,1,4VVXGJ2F+2J,4VVXGJ2F+2J,4VVXGJ2F+2J,4VVXGJ2F+2J
5.358,31.8479999999999,7.0,1990,5,24,20,0,1,South Sudan,SS,Central Equatoria,Central Equatoria
-7.363,120.363,6.4,1990,5,24,20,9,1,Indonesia,ID,6Q42J9P7+R5,6Q42J9P7+R5
-6.016,-77.2289999999999,6.1,1990,5,30,2,34,1,Peru,PE,San Martin,San Martin
45.841,26.6679999999999,7.1,1990,5,30,10,40,1,Romania,RO,Vrancea,VN
45.811,26.7689999999999,6.5,1990,5,31,0,17,1,Romania,RO,Vrancea,VN
-3.563,144.431999999999,6.5,1990,6,7,9,25,1,Papua New Guinea,PG,6R86CCPJ+QR,6R86CCPJ+QR
-18.8739999999999,-178.788999999999,6.2,1990,6,8,15,5,1,Fiji,FJ,Lau,Lau
11.76,121.899,6.0,1990,6,14,7,40,1,Philippines,PH,Western Visayas,Western Visayas
47.869,85.07599999999991,6.1,1990,6,14,12,47,1,Kazakhstan,KZ,East Kazakhstan Province,ВКО
-5.041,152.081999999999,6.0,1990,6,15,8,12,1,Papua New Guinea,PG,X35J+JQ,X35J+JQ
36.957,49.40899999999991,7.7,1990,6,20,21,0,1,Iran,IR,Gilan Province,Gilan Province
-21.568,-176.483,6.5,1990,6,23,21,38,1,52C5CGJ8+RQ,52C5CGJ8+RQ,52C5CGJ8+RQ,52C5CGJ8+RQ
-22.015,-179.473,6.0,1990,6,26,12,8,1,5292XGMG+XR,5292XGMG+XR,5292XGMG+XR,5292XGMG+XR
5.395,31.654,6.4,1990,7,9,15,11,1,South Sudan,SS,Central Equatoria,Central Equatoria
-10.353,161.119,6.2,1990,7,10,3,17,1,Solomon Islands,SB,5VX3J4W9+RJ,5VX3J4W9+RJ
0.003,-17.376,6.2,1990,7,14,5,54,1,6CG42J3F+6H,6CG42J3F+6H,6CG42J3F+6H,6CG42J3F+6H
15.679,121.172,7.8,1990,7,16,7,26,1,Philippines,PH,Central Luzon,Central Luzon
16.495,120.980999999999,6.1,1990,7,17,21,14,1,Philippines,PH,Cagayan Valley,Cagayan Valley
-15.355,167.464,6.9,1990,7,27,12,37,1,Vanuatu,VU,5VP9JFV7+XH,5VP9JFV7+XH
47.963,84.9609999999999,6.0,1990,8,3,9,15,1,Kazakhstan,KZ,East Kazakhstan Province,ВКО
