Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
15.5749999999999,-94.98399999999991,6.5,1972,11,13,4,43,1
-6.503,154.25,6.4,1972,11,21,3,59,1
6.473,126.601,7.4,1972,12,2,0,19,1
33.326,140.684,6.6,1972,12,4,10,16,1
-1.523,136.679,6.0,1972,12,4,17,51,1
-2.995,139.139999999999,6.0,1972,12,6,1,43,1
44.774,149.393,6.0,1972,12,10,18,26,1
-7.203,127.699,6.0,1972,12,22,8,55,1
-55.396,-28.172,6.4,1972,12,22,12,19,1
-15.984,-172.416,6.0,1972,12,22,16,22,1
12.3569999999999,-86.119,6.2,1972,12,23,6,29,1
76.786,-107.038,6.0,1972,12,27,22,59,1
-30.556,-71.021,6.0,1972,12,29,4,51,1
-35.5129999999999,-16.2109999999999,6.0,1973,1,1,11,42,1
-38.997,175.232,6.2,1973,1,5,13,54,1
-14.6649999999999,166.383999999999,6.1,1973,1,6,15,52,1
-6.868,149.992999999999,6.8,1973,1,18,9,28,1
18.6009999999999,-104.967,6.1,1973,1,22,0,37,1
-0.115,123.931,6.0,1973,1,27,13,8,1
18.481,-102.996,7.5,1973,1,30,21,1,1
28.206,139.227,6.0,1973,1,31,20,55,1
-22.655,-66.19499999999991,6.1,1973,2,1,5,14,1
31.398,100.581,7.4,1973,2,6,10,37,1
-45.475,96.2879999999999,6.1,1973,2,8,10,9,1
-30.387,-177.508999999999,6.3,1973,2,14,16,11,1
-19.1939999999999,168.74,6.0,1973,2,24,7,38,1
-61.03699999999991,-37.881,6.4,1973,2,25,5,35,1
50.485999999999905,156.584,7.2,1973,2,28,6,37,1
54.828,161.598999999999,6.1,1973,3,4,17,57,1
6.274,127.336,6.0,1973,3,9,10,6,1
50.835,157.103,6.1,1973,3,12,19,39,1
2.091,126.643,6.3,1973,3,16,0,51,1
-19.376,169.359,6.0,1973,3,17,4,57,1
13.372,122.787,7.0,1973,3,17,8,30,1
2.033,126.58,6.5,1973,3,18,11,6,1
23.4149999999999,123.956999999999,6.0,1973,3,26,2,37,1
23.338,123.757,6.0,1973,3,28,23,55,1
4.691,-75.628,6.2,1973,4,3,13,54,1
6.966,91.384,6.6,1973,4,7,3,0,1
-58.302,-13.394,6.7,1973,4,7,12,22,1
-15.779,167.217999999999,6.4,1973,4,8,12,41,1
64.89,-159.49,6.0,1973,4,11,5,12,1
50.893,157.443,6.1,1973,4,12,13,49,1
10.679,-84.759,6.5,1973,4,14,8,34,1
-4.439,134.03,6.4,1973,4,17,12,34,1
4.956,-78.144,6.5,1973,4,24,21,30,1
-59.280999999999906,-26.097,6.0,1973,4,25,21,34,1
19.8653,-155.1528,6.2,1973,4,26,20,26,1
54.011,-163.759999999999,6.0,1973,5,29,6,14,1
-47.79599999999991,99.661,6.3,1973,6,1,7,22,1
-17.192,167.813999999999,6.1,1973,6,5,3,12,1
-10.294,161.361999999999,6.3,1973,6,9,8,21,1
53.692999999999905,161.593999999999,6.0,1973,6,11,8,42,1
43.232999999999905,145.785,7.7,1973,6,17,3,55,1
42.706,146.041,6.0,1973,6,17,20,37,1
43.317999999999905,146.442,7.1,1973,6,24,2,43,1
43.174999999999905,146.56,6.6,1973,6,26,22,32,1
57.84,-137.33,6.7,1973,7,1,13,33,1
12.271,125.433,6.0,1973,7,3,6,37,1
12.205,125.33,6.5,1973,7,3,7,3,1
57.979999999999905,-138.020999999999,6.0,1973,7,3,16,59,1
13.225,124.699,6.0,1973,7,5,22,46,1
35.1779999999999,86.48099999999991,6.9,1973,7,14,4,51,1
-27.1179999999999,-71.51399999999991,6.3,1973,7,31,10,51,1
-8.767,160.991,6.0,1973,7,31,20,44,1
-14.2639999999999,167.274,6.1,1973,8,1,1,31,1
-16.231,-173.11,6.1,1973,8,5,15,47,1
-26.7809999999999,-70.879,6.1,1973,8,7,3,41,1
-54.35099999999991,-136.55,6.1,1973,8,7,6,39,1
-26.829,-70.9189999999999,6.3,1973,8,7,14,22,1
43.445999999999906,146.432999999999,6.0,1973,8,9,10,44,1
32.9949999999999,104.015,6.1,1973,8,11,7,15,1
-4.471,144.042,6.0,1973,8,13,8,28,1
23.052,101.11,6.4,1973,8,16,3,58,1
